Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,Ê00440105,-,-
Abington - Abington ECC,Ê00000003,4.1,100
Abington - Abington High,Ê00000505,3.2,100
Abington - Frolio Middle School,Ê00000405,3.6,100
Abington - Woodsdale,Ê00000015,5.2,100
Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,Ê00410530,-,-
Acton - Douglas,Ê00000020,5.3,100
Acton - Gates,Ê00000025,6.5,100
Acton - Luther Conant,Ê00000030,4.3,100
Acton - McCarthy-Towne,Ê00000015,4.2,100
Acton - Merriam,Ê00000010,5.5,100
Acton-Boxborough - Acton-Boxborough Reg High,Ê00600505,3.1,100
Acton-Boxborough - Raymond J Grey JH,Ê00600405,3.4,100
Acushnet - Acushnet Elementary Sch,Ê00000025,2.1,100
Acushnet - Albert F Ford Middle Sch,Ê00000305,1.7,100
Adams-Cheshire - Cheshire Elementary,Ê00600004,3.2,100
Adams-Cheshire - Hoosac Valley High,Ê00600505,2.6,100
Adams-Cheshire - Plunkett Elementary,Ê00600020,4.9,100
Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,Ê00430305,-,-
Agawam - Agawam ECC,Ê00000003,12.4,100
Agawam - Agawam High,Ê00000505,2.9,100
Agawam - Agawam Junior High,Ê00000405,2.6,100
Agawam - Benjamin J Phelps,Ê00000020,4.8,100
Agawam - Clifford M Granger,Ê00000010,3.8,100
Agawam - James Clark School,Ê00000030,5.3,100
Agawam - Roberta G. Doering School,Ê00000303,5,100
Agawam - Robinson Park,Ê00000025,4.7,100
Amesbury - Amesbury Elementary,Ê00000005,4.1,100
Amesbury - Amesbury High,Ê00000505,2.2,100
Amesbury - Amesbury Middle,Ê00000013,3.9,100
Amesbury - Charles C Cashman El,Ê00000010,5.6,100
Amesbury Academy Charter Public (District) - Amesbury Academy Charter Public School,Ê00410505,-,-
Amherst - Crocker Farm Elementary,Ê00000009,2.2,100
Amherst - Fort River Elementary,Ê00000020,2,100
Amherst - Wildwood Elementary,Ê00000050,2.2,100
Amherst-Pelham - Amherst Regional High,Ê00600505,2.2,100
Amherst-Pelham - Amherst Regional MS,Ê00600405,1.6,100
Andover - Andover High,Ê00000505,3.5,100
Andover - Andover West Middle,Ê00000310,2.6,100
Andover - Bancroft Elementary,Ê00000003,3.3,100
Andover - Doherty Middle,Ê00000305,2.2,100
Andover - Henry C Sanborn Elem,Ê00000010,2.9,100
Andover - High Plain Elementary,Ê00000004,2.6,100
Andover - Shawsheen School,Ê00000005,3,100
Andover - South Elementary,Ê00000020,3.9,100
Andover - West Elementary,Ê00000025,3.2,100
Andover - Wood Hill Middle School,Ê00000350,1.6,100
Arlington - Arlington High,Ê00010505,-,-
Arlington - Brackett,Ê00010010,-,-
Arlington - Cyrus E Dallin,Ê00010025,-,-
Arlington - Hardy,Ê00010030,-,-
Arlington - John A Bishop,Ê00010005,-,-
Arlington - M Norcross Stratton,Ê00010055,-,-
Arlington - Menotomy Preschool,Ê00010038,-,-
Arlington - Ottoson Middle,Ê00010410,-,-
Arlington - Peirce,Ê00010045,-,-
Arlington - Thompson,Ê00010050,-,-
Ashburnham-Westminster - Briggs Elem,Ê00610025,4.8,100
Ashburnham-Westminster - Meetinghouse School,Ê00610010,5.9,100
Ashburnham-Westminster - Oakmont Regional H S,Ê00610505,2.7,100
Ashburnham-Westminster - Overlook Middle School,Ê00610305,4.7,100
Ashburnham-Westminster - Westminster Elem,Ê00610005,3.4,100
Ashland - Ashland High,Ê00010505,1.9,100
Ashland - Ashland Middle,Ê00010405,3.2,100
Ashland - David Mindess,Ê00010015,3.2,100
Ashland - Henry E Warren Elem,Ê00010010,5.3,100
Ashland - William Pittaway Elem,Ê00010005,10.8,100
Assabet Valley Regional Vocational Technical - Assabet Valley Voc HS,Ê00800605,1.2,100
Athol-Royalston - Athol High,Ê00610505,2.4,100
Athol-Royalston - Athol-Royalston Middle School,Ê00610305,1.9,100
Athol-Royalston - Ellen Bigelow,Ê00610005,1.4,100
Athol-Royalston - Pleasant St,Ê00610016,3.3,100
Athol-Royalston - Riverbend,Ê00610020,1.8,100
Athol-Royalston - Royalston Community Sch,Ê00610050,1.7,100
Athol-Royalston - Sanders Street,Ê00610025,2.4,100
Atlantis Charter (District) - Atlantis Charter School,Ê00490550,-,-
Attleboro - A. Irvin Studley Elementary School,Ê00010001,4.1,100
Attleboro - Attleboro High,Ê00010505,3.5,100
Attleboro - Cyril K. Brennan Middle School,Ê00010315,3.4,100
Attleboro - Early Learning Center,Ê00010008,16.9,100
Attleboro - Hill-Roberts Elementary School,Ê00010045,5.9,100
Attleboro - Hyman Fine Elementary School,Ê00010040,4.8,100
Attleboro - Peter Thacher Elementary School,Ê00010050,2.8,100
Attleboro - Robert J. Coelho Middle School,Ê00010305,3.1,100
Attleboro - Thomas E. Willett School,Ê00010035,4.6,100
Attleboro - Wamsutta Middle School,Ê00010320,5,100
Auburn - Auburn Middle,Ê00010305,2.6,100
Auburn - Auburn Senior High,Ê00010505,1.9,100
Auburn - Bryn Mawr,Ê00010010,4.3,100
Auburn - Julia Bancroft,Ê00010005,2.7,100
Auburn - Mary D Stone,Ê00010025,2.6,100
Auburn - Pakachoag,Ê00010015,2.6,100
Avon - Avon Middle High School,Ê00010510,1.1,100
Avon - Ralph D Butler,Ê00010010,3.1,100
Ayer - Ayer High School,Ê00010510,-,-
Ayer - Page-Hilltop,Ê00010025,-,-
Barnstable - Barnstable Early Learning Center,Ê00020004,16.5,100
Barnstable - Barnstable High,Ê00020505,2.8,100
Barnstable - Barnstable Intermediate School,Ê00020315,2.3,100
Barnstable - Centerville Elementary,Ê00020010,3.2,100
Barnstable - Hyannis West Elementary,Ê00020025,3.8,100
Barnstable - West Barnstable Elem,Ê00020005,3.3,100
Barnstable - West Villages Elementary School,Ê00020045,4.4,100
Barnstable Community Horace Mann Charter Public (District) - Barnstable Community Horace Mann Charter Public School,Ê00420010,-,-
Barnstable Horace Mann Charter (District) - Barnstable Horace Mann Charter School,Ê00420010,-,-
Bedford - Bedford High,Ê00020505,1.6,100
Bedford - John Glenn Middle,Ê00020305,2,100
Bedford - Lt Elezer Davis,Ê00020010,3.2,100
Bedford - Lt Job Lane School,Ê00020012,2.9,100
Belchertown - Belchertown High,Ê00020505,1.6,100
Belchertown - Chestnut Hill Community School,Ê00020006,4.5,100
Belchertown - Cold Spring,Ê00020005,27.1,50
Belchertown - Jabish Middle School,Ê00020025,4.7,100
Belchertown - Swift River Elem,Ê00020018,10.1,88.6
Bellingham - Bellingham ECC,Ê00020003,-,-
Bellingham - Bellingham High School,Ê00020505,-,-
Bellingham - Bellingham Memorial Middle School,Ê00020315,-,-
Bellingham - Clara Macy Elementary,Ê00020009,-,-
Bellingham - Primavera Jr/Sr H S,Ê00020510,-,-
Bellingham - South Elem,Ê00020020,-,-
Bellingham - Stall Brook,Ê00020025,-,-
Belmont - Belmont High,Ê00020505,2.9,100
Belmont - Daniel Butler,Ê00020015,3.7,100
Belmont - Mary Lee Burbank,Ê00020010,4.5,100
Belmont - Roger E Wellington,Ê00020035,4.1,100
Belmont - Winn Brook,Ê00020005,5.1,100
Belmont - Winthrop L Chenery Middle,Ê00020305,4.1,100
Benjamin Banneker Charter Public (District) - Benjamin Banneker Charter Public School,Ê00420205,-,-
Benjamin Franklin Classical Charter Public (District) - Benjamin Franklin Classical Charter Public School,Ê00440205,-,-
Berkley - Berkley Community School,Ê00020010,2.5,100
Berkley - Berkley Middle School,Ê00020305,1.8,100
Berkshire Arts and Technology Charter Public (District) - Berkshire Arts and Technology Charter Public School,Ê00410305,-,-
Berkshire Hills - Monument Mt Reg High,Ê00610505,2.1,100
Berkshire Hills - Monument Valley Regional Middle School,Ê00610310,1.1,100
Berkshire Hills - Muddy Brook Regional Elementary School,Ê00610035,1.8,100
Berlin - Berlin Memorial,Ê00020005,3.1,100
Berlin-Boylston - Tahanto Reg High,Ê00620505,5.1,100
Beverly - Ayers/Ryal Side Sch,Ê00030055,6,100
Beverly - Beverly High,Ê00030505,2.2,100
Beverly - Briscoe Middle,Ê00030305,3.9,100
Beverly - Centerville Elementary,Ê00030010,3.7,100
Beverly - Cove Elementary,Ê00030015,4.9,100
Beverly - Hannah Elementary,Ê00030033,3.8,100
Beverly - North Beverly Elementary,Ê00030040,4.1,100
Billerica - Billerica Memorial High School,Ê00030505,-,-
Billerica - Eugene C Vining,Ê00030030,-,-
Billerica - Frederick J Dutile,Ê00030007,-,-
Billerica - Hajjar Elementary,Ê00030026,-,-
Billerica - John F Kennedy,Ê00030012,-,-
Billerica - Locke Middle,Ê00030310,-,-
Billerica - Marshall Middle School,Ê00030305,-,-
Billerica - Parker,Ê00030015,-,-
Billerica - Thomas Ditson,Ê00030005,-,-
Blackstone Valley Regional Vocational Technical - Blackstone Valley,Ê00800605,1.2,100
Blackstone-Millville - A F Maloney,Ê00620015,3.3,100
Blackstone-Millville - Blackstone Millville RHS,Ê00620505,3.3,100
Blackstone-Millville - Frederick W. Hartnett Middle School,Ê00620405,1.8,100
Blackstone-Millville - John F Kennedy Elem,Ê00620008,6.8,100
Blackstone-Millville - Millville Elem,Ê00620010,4.1,100
Blue Hills Regional Vocational Technical - Blue Hills Reg Voc Tech,Ê00800605,1.6,100
Boston - Agassiz,Ê00030007,4,100
Boston - Another Course To College,Ê00030541,2.1,100
Boston - Baldwin ELC,Ê00030003,4.4,100
Boston - Beethoven,Ê00030021,3.4,100
Boston - Blackstone,Ê00030390,3.7,100
Boston - Boston Adult Academy,Ê00030548,2.3,100
Boston - Boston Arts Academy,Ê00030546,3.1,100
Boston - Boston Community Leadership Academy,Ê00030558,3.5,100
Boston - Boston International High School,Ê00030507,2.4,100
Boston - Boston Latin,Ê00030560,4.6,100
Boston - Boston Latin Academy,Ê00030545,6.4,100
Boston - Boston Middle School Academy,Ê00030413,0.1,100
Boston - Boston Teachers Union School,Ê00030012,1.4,100
Boston - Brighton High,Ê00030505,3.1,100
Boston - Brook Farm Business and Service Career Academy,Ê00030576,2.8,100
Boston - Carter Developmental Center,Ê00030036,1.2,100
Boston - Charles H Taylor,Ê00030054,4.5,100
Boston - Charles Sumner,Ê00030052,4.1,100
Boston - Charlestown High,Ê00030515,2.8,100
Boston - Clarence R Edwards Middle,Ê00030430,4,100
Boston - Community Academy,Ê00030518,0.8,100
Boston - Community Academy of Science and Health,Ê00030581,2,100
Boston - Curley K-8 School,Ê00030020,3.7,100
Boston - Curtis Guild,Ê00030062,3.2,100
Boston - Dante Alighieri,Ê00030066,3.4,100
Boston - David A Ellis,Ê00030072,3.5,100
Boston - Dearborn,Ê00030074,3.1,100
Boston - Dennis C Haley,Ê00030077,1.8,100
Boston - Donald Mckay,Ê00030080,3.6,100
Boston - Dorchester Academy,Ê00030651,1.1,100
Boston - Dr. Catherine Ellison-Rosa Parks Early Ed School,Ê00030008,1.9,100
Boston - Dr. William Henderson,Ê00030266,2.5,100
Boston - ELC - East Zone,Ê00030005,2.3,100
Boston - ELC - West Zone,Ê00030006,1.2,100
Boston - East Boston ECC,Ê00030009,2.8,100
Boston - East Boston High,Ê00030530,3.6,100
Boston - Edison K-8,Ê00030375,4.2,100
Boston - Edward Everett,Ê00030088,3.9,100
Boston - Egleston Comm High School,Ê00030543,1.8,100
Boston - Elihu Greenwood Leadership Academy,Ê00030094,4.7,100
Boston - Eliot Elementary,Ê00030096,2.5,100
Boston - Ellis Mendell,Ê00030100,4,100
Boston - Emily A Fifield,Ê00030102,5,100
Boston - Excel High School,Ê00030522,1.3,100
Boston - Farragut,Ê00030108,3.2,100
Boston - Fenway High School,Ê00030540,1.4,100
Boston - Franklin D Roosevelt,Ê00030116,8,100
Boston - Gardner Pilot Academy,Ê00030326,2.4,100
