Abby Kelley Foster Charter Public (District),4450000,63,95.2,1.6,0,0,1.6,1.6
Abington,10000,143,88.1,2.8,0,1.4,7.7,0
Academy Of the Pacific Rim Charter Public (District),4120000,36,86.1,8.3,0,5.6,0,0
Acton-Boxborough,6000000,526,95.1,2.9,0,0.2,1.7,0.2
Adams-Cheshire,6030000,112,75.9,10.7,0,5.4,8,0
Advanced Math and Science Academy Charter (District),4300000,67,92.5,1.5,0,0,6,0
Agawam,50000,333,89.5,2.7,1.8,2.4,3.3,0.3
Amesbury,70000,171,82.5,5.3,1.8,4.7,5.8,0
Amesbury Academy Charter Public (District),4150000,17,64.7,29.4,0,5.9,0,0
Amherst-Pelham,6050000,290,90.3,5.9,0.7,0.7,2.4,0
Andover,90000,455,95.4,2.2,0.4,0.9,1.1,0
Arlington,100000,319,92.2,5,0,0.3,2.5,0
Ashburnham-Westminster,6100000,184,91.3,4.3,0,0.5,3.8,0
Ashland,140000,182,87.9,4.4,0,3.3,4.4,0
Assabet Valley Regional Vocational Technical,8010000,243,85.6,3.7,0,2.9,7.4,0.4
Athol-Royalston,6150000,146,67.8,13,0.7,6.8,11.6,0
Attleboro,160000,413,83.5,5.8,0.2,1.7,8.7,0
Auburn,170000,188,94.1,2.7,0.5,1.6,1.1,0
Avon,180000,46,84.8,6.5,2.2,2.2,4.3,0
Ayer,190000,84,84.5,0,2.4,6,7.1,0
Barnstable,200000,404,80.2,6.4,2.2,3.2,7.7,0.2
Bedford,230000,188,93.6,3.2,0,1.6,1.6,0
Belchertown,240000,208,89.4,4.3,0,2.9,2.9,0.5
Bellingham,250000,198,84.3,4.5,1.5,1,8.6,0
Belmont,260000,298,93,4.4,0.3,0.3,2,0
Berkshire Arts and Technology Charter Public (District),4140000,12,83.3,0,0,8.3,8.3,0
Berkshire Hills,6180000,149,95.3,4,0,0,0.7,0
Berlin-Boylston,6200000,73,91.8,6.8,1.4,0,0,0
Beverly,300000,305,85.9,5.9,0.3,0.7,7.2,0
Billerica,310000,371,84.1,6.7,0.5,2.4,6.2,0
Blackstone Valley Regional Vocational Technical,8050000,273,98.2,0.4,0,0,1.5,0
Blackstone-Millville,6220000,116,89.7,1.7,0,3.4,5.2,0
Blue Hills Regional Vocational Technical,8060000,198,93.4,2,0,0.5,4,0
Boston,350000,4632,64.4,17,1.2,2.1,15.1,0.2
Boston Collegiate Charter (District),4490000,28,71.4,10.7,0,0,17.9,0
Boston Day and Evening Academy Charter (District),4240000,191,16.2,47.6,1.6,3.1,31.4,0
Boston Preparatory Charter Public (District),4160000,15,86.7,0,0,0,13.3,0
