orgCode,school,stuPerCPU,classOnInternet
440105,Abby Kelley Foster Charter Public (District) - Abby Kelley Foster Charter Public School,-,-
,,,
3,Abington - Abington ECC,4.1,100
,,,
505,Abington - Abington High,3.2,100
,,,
405,Abington - Frolio Middle School,3.6,100
,,,
15,Abington - Woodsdale,5.2,100
,,,
410530,Academy Of the Pacific Rim Charter Public (District) - Academy Of the Pacific Rim Charter Public School,-,-
,,,
20,Acton - Douglas,5.3,100
,,,
25,Acton - Gates,6.5,100
,,,
30,Acton - Luther Conant,4.3,100
,,,
15,Acton - McCarthy-Towne,4.2,100
,,,
10,Acton - Merriam,5.5,100
,,,
600505,Acton-Boxborough - Acton-Boxborough Reg High,3.1,100
,,,
600405,Acton-Boxborough - Raymond J Grey JH,3.4,100
,,,
25,Acushnet - Acushnet Elementary Sch,2.1,100
,,,
305,Acushnet - Albert F Ford Middle Sch,1.7,100
,,,
600004,Adams-Cheshire - Cheshire Elementary,3.2,100
,,,
600505,Adams-Cheshire - Hoosac Valley High,2.6,100
,,,
600020,Adams-Cheshire - Plunkett Elementary,4.9,100
,,,
430305,Advanced Math and Science Academy Charter (District) - Advanced Math and Science Academy Charter School,-,-
,,,
3,Agawam - Agawam ECC,12.4,100
,,,
505,Agawam - Agawam High,2.9,100
,,,
405,Agawam - Agawam Junior High,2.6,100
,,,
20,Agawam - Benjamin J Phelps,4.8,100
,,,
10,Agawam - Clifford M Granger,3.8,100
,,,
30,Agawam - James Clark School,5.3,100
,,,
303,Agawam - Roberta G. Doering School,5,100
,,,
25,Agawam - Robinson Park,4.7,100
,,,
5,Amesbury - Amesbury Elementary,4.1,100
,,,
505,Amesbury - Amesbury High,2.2,100
,,,
13,Amesbury - Amesbury Middle,3.9,100
,,,
10,Amesbury - Charles C Cashman El,5.6,100
,,,
410505,Amesbury Academy Charter Public (District) - Amesbury Academy Charter Public School,-,-
,,,
9,Amherst - Crocker Farm Elementary,2.2,100
,,,
20,Amherst - Fort River Elementary,2,100
,,,
50,Amherst - Wildwood Elementary,2.2,100
,,,
600505,Amherst-Pelham - Amherst Regional High,2.2,100
,,,
600405,Amherst-Pelham - Amherst Regional MS,1.6,100
,,,
505,Andover - Andover High,3.5,100
,,,
310,Andover - Andover West Middle,2.6,100
,,,
3,Andover - Bancroft Elementary,3.3,100
,,,
305,Andover - Doherty Middle,2.2,100
,,,
10,Andover - Henry C Sanborn Elem,2.9,100
,,,
4,Andover - High Plain Elementary,2.6,100
,,,
5,Andover - Shawsheen School,3,100
,,,
20,Andover - South Elementary,3.9,100
,,,
25,Andover - West Elementary,3.2,100
,,,
350,Andover - Wood Hill Middle School,1.6,100
,,,
10505,Arlington - Arlington High,-,-
,,,
10010,Arlington - Brackett,-,-
,,,
10025,Arlington - Cyrus E Dallin,-,-
,,,
10030,Arlington - Hardy,-,-
,,,
10005,Arlington - John A Bishop,-,-
,,,
10055,Arlington - M Norcross Stratton,-,-
,,,
10038,Arlington - Menotomy Preschool,-,-
,,,
10410,Arlington - Ottoson Middle,-,-
,,,
